question,answer,source_page,source_title
How does Vizcom support the learning and development of its employees?,"Vizcom supports the learning and development of its employees through a generous L&D allowance that resets annually, which can be used for conferences, courses, and books.",https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
What is the work environment like at Vizcom?,"The work environment at Vizcom is described as a high-trust, low-ego, and supportive environment where employees can do their best work.",https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
How does Vizcom approach problem-solving and innovation?,"Vizcom approaches problem-solving and innovation by being obsessed with 'what if' and challenging assumptions to dream up better ways, with curiosity as their superpower.",https://vizcom.com/careers,Careers at Vizcom | Join Us in Building the Future of Design
What is the duration of a Vizcom demo?,A Vizcom demo is 30 minutes long. It's kept focused and respects your time.,https://vizcom.com/contact,Request a Demo | See Vizcom in Action
Will the Vizcom demo be a sales pitch?,"No, the demo is not a sales pitch. It's an opportunity to see how Vizcom works, get your questions answered honestly, and determine if it's the right fit for you.",https://vizcom.com/contact,Request a Demo | See Vizcom in Action
Can I see Vizcom features specific to my industry during the demo?,"Yes, you can see features specific to your industry. The demo is tailored to what matters most to you, based on your industry and use case.",https://vizcom.com/contact,Request a Demo | See Vizcom in Action
What happens if I'm not ready to buy Vizcom after the demo?,"That's completely fine. The demo is about education, not commitment. You can book a demo just to understand how Vizcom works before making any decisions.",https://vizcom.com/contact,Request a Demo | See Vizcom in Action
Who will run the Vizcom demo?,"The demo will be run by someone from the product expert or sales team who knows Vizcom inside and out and can answer technical, implementation, and pricing questions.",https://vizcom.com/contact,Request a Demo | See Vizcom in Action
Can I bring my team to the Vizcom demo?,"Yes, you can bring your team to the demo. It's actually encouraged, as the more perspectives, the better the conversation.",https://vizcom.com/contact,Request a Demo | See Vizcom in Action
What happens after the Vizcom demo?,"If Vizcom feels like a fit, a trial can be set up for your team right away. If not, there are no hard feelings, and the team is there to help you find the right solution, even if it's not Vizcom.",https://vizcom.com/contact,Request a Demo | See Vizcom in Action
Why should I book a demo with Vizcom?,"Booking a demo with Vizcom allows you to see the platform in action, tailored to your specific needs and industry, and helps you determine if it's the right fit for you and your team.",https://vizcom.com/contact,Request a Demo | See Vizcom in Action
What is Vizcom Enterprise?,"Vizcom Enterprise is a design platform for teams building real products, allowing them to stay aligned, move faster, and build together.",https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
How do I get started with Vizcom Enterprise?,You can get started with Vizcom Enterprise by booking a demo or learning more about the platform on the Vizcom website.,https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
What security measures does Vizcom Enterprise have in place?,"Vizcom Enterprise has enterprise-grade security, compliant with ISO 27001 and SOC 2, verified through independent security testing, and utilizes advanced encryption and strict access controls.",https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
Can Vizcom Enterprise help reduce design timelines?,"Yes, Vizcom Enterprise can help cut design timelines by up to 40% by accelerating design exploration, alignment, and review on a single platform.",https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
What is the difference between using Vizcom Enterprise and other design tools?,"Vizcom Enterprise consolidates sketching, rendering, and review into one streamlined platform, reducing the need for multiple tools and associated costs.",https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
How does Vizcom Enterprise support collaboration across teams?,"Vizcom Enterprise supports collaboration across teams by providing shared visuals and centralized feedback, helping distributed teams stay aligned.",https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
Why does Vizcom Enterprise ensure content ownership?,"Vizcom Enterprise ensures content ownership by guaranteeing that your sketches, renders, and models are yours and will never be trained on or reused.",https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
What types of industries can Vizcom Enterprise support?,"Vizcom Enterprise can support various industries, including industrial design, footwear, gaming, automotive, and apparel, among others.",https://vizcom.com/enterprise,Vizcom Enterprise | Design Platform for Teams Building Real Products
What is Vizcom's pricing model?,"Vizcom offers flexible pricing for creators, professionals, and organizations, with plans that include a free starter plan, a professional plan at $49 per user/month, and an enterprise plan with custom pricing.",https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
How do I get started with Vizcom for free?,"You can get started with Vizcom for free by signing up for the starter plan, which is completely free and does not require a credit card.",https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
What is the difference between the Professional and Enterprise plans?,"The Professional plan includes 20,000 credits, priority render queue, and multi-image generation, while the Enterprise plan includes highest usage, fastest renders, unlimited seats and teams, and custom AI models.",https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
Can I use Vizcom for free and still own the content I produce?,"Yes, you own everything you create in Vizcom, even on the free plan, although Vizcom may use generated images to improve its services.",https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
How does team billing work in Vizcom?,"Team billing is handled centrally by the Admin, with all paid seats included in a single invoice under the same billing cycle, while Viewers remain free and do not affect the cost.",https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
What payment methods can I use to pay for Vizcom?,Vizcom accepts all major credit and debit cards.,https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
Can I change my subscription from monthly to yearly?,"Yes, you can change your subscription from monthly to yearly, and the switch will take effect on the next billing cycle at the annual rate, which saves 30%.",https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
Does Vizcom use my data to train AI models if I'm on a paid plan?,"No, Vizcom does not use your data to train AI models if you're on a paid plan, and everything you create stays private and is only used to provide the service.",https://vizcom.com/pricing,"Vizcom Pricing | Plans for Designers, Teams, & Students"
What is Vizcom for Apparel Design?,"Vizcom for Apparel Design is a platform that helps apparel teams visualize garments, explore materials and colorways, and collaborate in real time, from first sketch to final approval.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
How does Vizcom accelerate the apparel design workflow?,"Vizcom accelerates the apparel design workflow by allowing designers to visualize silhouettes and materials instantly, generate realistic garments, and update design changes live as they sketch.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
"What is the difference between Admin, Editor, and Viewer roles in Vizcom?","Admins can edit files, manage workspace settings, billing, teams, and invite members. Editors can edit files but not manage settings, billing, or teams. Viewers can only view files in read-only mode.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
Can I use Vizcom for free?,"Yes, Vizcom has a starter plan that is completely free, with no credit card required, allowing users to explore the platform.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
How does team billing work in Vizcom?,"Team billing is handled centrally by the Admin, with all paid seats included in a single invoice under the same billing cycle, while Viewers remain free and do not affect the cost.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
Does Vizcom use my data to train AI models?,"For paid users, Vizcom does not use their data to train AI models, and all created content remains private. For free users, generated images may be used to improve Vizcom's services, but users retain full rights to their designs and concepts.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
Can I change my subscription from monthly to yearly?,"Yes, an Admin can update the plan in the billing settings, and the switch will take effect on the next billing cycle at the annual rate.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
Do I own the content I produce in Vizcom?,"Yes, users own everything they create in Vizcom, with free users retaining full rights to their designs, concepts, and original ideas, and paid users having their images and designs remain entirely private and confidential.",https://vizcom.com/solutions/apparel,Vizcom for Apparel Design | Visualize Garments & Collections
What is Vizcom for Automotive Design?,"Vizcom is a platform that helps automotive teams explore forms, evaluate surfaces, and align from early sketches to production-ready visuals. It streamlines early-stage automotive ideation and review with rapid visualization.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
How does Vizcom simplify the design process?,"Vizcom simplifies the design process by keeping concepts flexible, reducing iteration drag, extending creative exploration, and simplifying tool workflows. This allows teams to explore more ideas before locking direction and to produce clean, presentation-ready visuals with minimal setup.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
Can I use Vizcom for free?,"Yes, Vizcom offers a starter plan that is completely free, with no credit card required. This plan allows users to explore Vizcom's features and capabilities.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
"What is the difference between Admin, Editor, and Viewer roles in Vizcom?","Admins can edit files, manage workspace settings, billing, teams, and invite members. Editors can edit files but not manage settings, billing, or teams. Viewers can only view files in read-only mode and are free.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
How does team billing work in Vizcom?,"Team billing is handled centrally by the Admin, with all paid seats included in a single invoice under the same billing cycle, while Viewers remain free and do not affect the cost.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
Can I change my subscription from monthly to yearly?,"Yes, an Admin can update the plan in the billing settings, and the switch will take effect on the next billing cycle at the annual rate.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
Do I own the content I produce in Vizcom?,"Yes, you own everything you create in Vizcom. For free users, Vizcom may use generated images to improve its services, but it does not claim ownership of your designs, concepts, or original ideas. For paid users, your images and designs remain entirely private and are only used to deliver the service.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
Does Vizcom use my data to train AI models?,"Vizcom does not use your data to train AI models if you’re on a paid plan. For free users, Vizcom may use generated images to help improve its services, but it does not claim ownership of your designs, concepts, or original ideas.",https://vizcom.com/solutions/automotive,Vizcom for Automotive Design | Sketch to Studio-Quality Render
What is Vizcom for Footwear Design?,"Vizcom empowers footwear design teams to visualize and communicate footwear designs instantly, without complex software.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
How do I get started with Vizcom?,"You can get started with Vizcom by booking a demo or signing up for the free starter plan, which requires no credit card.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
"What is the difference between Admins, Editors, and Viewers in Vizcom?","Admins can edit files, manage settings, and invite members, while Editors can only edit files. Viewers can only view files in read-only mode and are free.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
Can I use Vizcom for free?,"Yes, Vizcom offers a free starter plan that allows you to explore its features without requiring a credit card.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
How does Vizcom handle team billing?,"Team billing is handled centrally by the Admin, with all paid seats included in a single invoice under the same billing cycle, while Viewers remain free.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
Do I own the content I produce in Vizcom?,"Yes, you own everything you create in Vizcom, and for paid users, your images and designs remain entirely private and are only used to deliver the service.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
Can Vizcom help with color exploration?,"Yes, Vizcom allows you to explore color and finish in seconds, enabling you to experiment with blocking, finishes, and palettes instantly.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
Why does Vizcom use AI rendering?,"Vizcom uses photoreal AI rendering to help designers visualize their ideas faster and more accurately, turning sketches into lifelike footwear concepts in seconds.",https://vizcom.com/solutions/footwear,Vizcom for Footwear Design | Render Sneakers & Products Instantly
What is Vizcom used for in game design?,"Vizcom is used to visualize concepts, environments, and characters in real time, from first sketch to cinematic-ready render, helping game studios to scale creative speed across their studio.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
How does Vizcom help with character designing?,"Vizcom helps with character designing by allowing developers to iterate on silhouettes, armor, and materials with any range of art styles from the start, and generate film-quality visuals in seconds.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
"What is the difference between Admin, Editor, and Viewer roles in Vizcom?","Admins can edit files, manage workspace settings, billing, teams, and invite members, while Editors can edit files but not manage settings, billing, or teams, and Viewers can only view files in read-only mode.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
Can I use Vizcom for free?,"Yes, Vizcom offers a starter plan that is completely free, with no credit card required, allowing users to explore the platform's features.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
How does team billing work in Vizcom?,"Team billing is handled centrally by the Admin, with all paid seats included in a single invoice under the same billing cycle, while Viewers remain free and do not affect the cost.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
Do I own the content I produce in Vizcom?,"Yes, you own everything you create in Vizcom, with free users retaining full rights to their designs, concepts, and original ideas, and paid users having their images and designs remain entirely private and confidential.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
Can I change my subscription from monthly to yearly?,"Yes, an Admin can update the plan in the billing settings, and the switch will take effect on the next billing cycle at the annual rate.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
Does Vizcom use my data to train AI models?,"Vizcom does not use your data to train AI models if you’re on a paid plan, but free users may have their generated images included to help improve Vizcom’s services, without claiming ownership of their designs, concepts, or original ideas.",https://vizcom.com/solutions/gaming,Vizcom for Game Design | Scale Virtual Worlds & Character Design in Real Time
What is Vizcom used for in industrial design?,"Vizcom is used to explore form, refine function, and support scaling design workflows with clear visuals and streamlined collaboration in industrial design.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
How does Vizcom simplify the design process?,"Vizcom simplifies the design process by lowering tool overhead, reducing tool complexity, and centralizing the design process, making it easier for designers to work together and produce high-quality visuals.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
"What is the difference between Admin, Editor, and Viewer roles in Vizcom?","Admins can edit files, manage settings, and invite members, while Editors can edit files but not manage settings. Viewers can only view files in read-only mode and are free.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
Can I use Vizcom for free?,"Yes, Vizcom offers a free starter plan with no credit card required, allowing users to explore the platform's features.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
How does team billing work in Vizcom?,"Team billing is handled centrally by the Admin, with all paid seats included in a single invoice under the same billing cycle, while Viewers remain free and do not affect the cost.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
Do I own the content I produce in Vizcom?,"Yes, you own everything you create in Vizcom, with full rights to your designs, concepts, and original ideas, whether you're a free or paid user.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
Can I change my subscription from monthly to yearly?,"Yes, an Admin can update the plan in the billing settings, and the switch will take effect on the next billing cycle at the annual rate.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
Does Vizcom use my data to train AI models?,"Vizcom does not use your data to train AI models if you're on a paid plan, but free users may have their generated images used to improve Vizcom's services, without claiming ownership of your designs or concepts.",https://vizcom.com/solutions/industrial-design,Vizcom for Industrial Design | Sketch to Render in Seconds
What is Vizcom University?,"Vizcom University appears to be a resource for learning about Vizcom, with categories such as Teams, Courses, and Webinars.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
What topics are covered in the Vizcom Webinar: Studio Refresh Overview + Modify Deep Dive?,"The webinar covers the latest updates to Vizcom Studio, how to use Modify with confidence in real design workflows, and how to apply Modify effectively for faster, more precise design iteration.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
How can I stay up to date with new content on Vizcom University?,"You can stay up to date by submitting a form to get notified when new courses, videos, tool tips, and more go live on Vizcom University.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
What is the Studio Refresh in Vizcom Studio?,"The Studio Refresh refers to the latest updates made to Vizcom Studio, the details of which are explored in the Vizcom Webinar: Studio Refresh Overview + Modify Deep Dive.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
Can I access the Vizcom Webinar: Studio Refresh Overview + Modify Deep Dive on demand?,"Yes, the Vizcom Webinar: Studio Refresh Overview + Modify Deep Dive is available on demand.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
Why is the Studio Refresh in Vizcom Studio important?,"The changes in the Studio Refresh matter, although the specific reasons why are not detailed in the provided content, they are discussed in the Vizcom Webinar.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
How do I learn about Modify in Vizcom Studio?,"You can learn about Modify in Vizcom Studio by watching the Vizcom Webinar: Studio Refresh Overview + Modify Deep Dive, which covers how to use Modify with confidence in real design workflows.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
What is Modify in the context of Vizcom Studio?,"Modify is a feature in Vizcom Studio that can be used for faster, more precise design iteration, although its exact functionality and details are not fully explained in the provided content.",https://vizcom.com/university-categories/teams,Teams | Vizcom University
What is Vizcom Plugins and how does it work?,"Vizcom Plugins is a feature that allows users to push 3D models from Vizcom into other software like Autodesk Fusion, or bring models back into Vizcom to continue iterating, creating a live creative loop between ideation and engineering.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
How can I turn a photo into a 3D model using Vizcom?,"You can turn a photo into a 3D model using photogrammetry, AI tools, and camera setup best practices, as outlined in Vizcom's designer's guide.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
What is the difference between Vizcom's New View experience and Free View camera controls?,"Free View improves Vizcom's New View experience with clearer camera control, allowing users to separate rotation and tilt to generate consistent views faster.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
Can Vizcom help with design workflow optimization?,"Yes, Vizcom provides tips and techniques for design workflow optimization, including mapping and fixing your current process to cut rendering time and ship better designs faster.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
Why is it important to document and present the behind-the-scenes design process?,"Documenting and presenting the behind-the-scenes design process, including the 'messy middle', can improve your design portfolio and provide valuable insight into your design thinking and process.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
How can distributed physical product design teams collaborate effectively using Vizcom?,"Distributed physical product design teams can collaborate effectively using Vizcom by utilizing the right tools and techniques, such as remote design collaboration and design workflow integration.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
What is the credits system in Vizcom and how does it work?,"The credits system in Vizcom provides a single balance to power your entire creative workflow, with the flexibility to grow as your projects demand, allowing for expanded creative capacity.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
What is Adaptive Canvas in Vizcom and what are its benefits?,"Adaptive Canvas in Vizcom removes fixed aspect ratio limits, allowing creators to resize, expand, and crop their canvas at any point without restarting or losing work, providing more flexibility and efficiency in the design process.",https://vizcom.com/blog,Vizcom Blog | Design Insights & Product Updates
What is the Vizcom Challenge?,The Vizcom Challenge is a monthly design competition where designers from around the world reimagine everyday objects.,https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
How do I participate in the Vizcom Challenge?,"To participate, read the challenge brief, create your design in Vizcom, refine it, and then submit your work to share your vision with the community.",https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
What is the current featured challenge on Vizcom?,"The current featured challenge is the Cork Design Challenge, which is hosted in partnership with Corkway and focuses on designing with cork in various spaces.",https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
Can I get notified about new challenges on Vizcom?,"Yes, you can sign up to get notified when new challenges launch, see winning designs, and stay inspired, with a monthly email update.",https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
What are the key dates for the Cork Design Challenge?,"The challenge kicked off on May 25, 2026, the deadline for submission is June 8, 2026, and the winners will be announced on June 23, 2026.",https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
What is the focus of the Cork Design Challenge?,"The challenge encourages designers to think creatively about cork's versatility, including its sustainability, texture, durability, and acoustic qualities.",https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
Are there past challenges available to view on Vizcom?,"Yes, Vizcom has a section for past challenges, including the Zellerfeld Mule Design Challenge, Viztober, and the Birdhouse Challenge, among others.",https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
What happens to the winning designs in the Vizcom Challenge?,"The winning designs have the chance to be manufactured and shipped to the designers, as stated in the challenge participation process.",https://vizcom.com/challenges,Vizcom Challenges | Design Competitions with Real-World Products
What happens after I submit my application?,"After submitting your application, it will be reviewed and most applications are approved within 24-72 hours. You'll get an email as soon as your status has been verified.",https://vizcom.com/challenges-submission,Challenges Submission
How do I know if my application has been received?,"You will receive a confirmation email after submitting your application. If you don't see it, make sure to check your spam folder.",https://vizcom.com/challenges-submission,Challenges Submission
What should I do if I haven't received a confirmation email?,"If you don't see the confirmation email, check your spam folder. If you're still having issues, you can email education@vizcom.com for help.",https://vizcom.com/challenges-submission,Challenges Submission
Can I get help with the application process?,"Yes, you can email education@vizcom.com for help with the application process or any other questions you may have.",https://vizcom.com/challenges-submission,Challenges Submission
What's the difference between submitting an application and uploading a design?,"Submitting an application is the first step in the process, while uploading a design is a separate step where you can share your concept and design work.",https://vizcom.com/challenges-submission,Challenges Submission
How do I upload my design?,You can upload your design and tell us about your concept through the submission process on the Challenges Submission page.,https://vizcom.com/challenges-submission,Challenges Submission
Why do I need to wait for my application to be approved?,Your application needs to be reviewed and verified before you can access the education resources and login instructions.,https://vizcom.com/challenges-submission,Challenges Submission
How long does it take to get approved after submitting my application?,Most applications are approved within 24-72 hours after submission.,https://vizcom.com/challenges-submission,Challenges Submission
What was the challenge about in the Reimagine the Future of Furniture: Milan Design Week?,"The challenge was to reimagine the future of the chair using Vizcom, with an intentionally open prompt to encourage bold and imaginative interpretations.",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
How do I submit my design for the Vizcom challenge?,"To submit your design, you need to read the challenge brief, create your concept in Vizcom, refine it, and then upload your design to share your vision with the community.",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
What are the judging criteria for the Vizcom challenge?,"The submissions will be evaluated based on creativity and originality (40%), design quality (30%), feasibility (20%), and alignment with the brief (10%).",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
Can I submit multiple designs for the challenge?,"Yes, you can submit up to 3 designs per challenge.",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
Do I need a paid Vizcom account to participate in the challenge?,"No, free accounts are eligible to participate, but you need to be mindful of the limits of the free plan features.",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
What happens to my design after I submit it?,"You retain full ownership of your design, and by submitting, you give Vizcom permission to showcase your work in connection with the challenge.",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
How are the winners of the challenge chosen?,"A panel of judges from Vizcom and their partners will evaluate submissions based on the judging criteria, and the decisions are final and cannot be appealed.",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
What do I win if my design is selected as one of the top designs?,"Your design will be manufactured and shipped to you, and you will be featured on Vizcom's website, social channels, and newsletter.",https://vizcom.com/challenges/reimagine-the-future-of-furniture-milan-design-week,Reimagine the Future of Furniture: Milan Design Week | Challenge | Vizcom
What is the Birdhouse Challenge?,"The Birdhouse Challenge is a community design challenge where designers are tasked with reimagining the birdhouse with no constraints on form, function, or style.",https://vizcom.com/challenges/the-birdhouse-challenge,The Birdhouse Challenge | Challenge | Vizcom
How do I submit my design for the Birdhouse Challenge?,"To submit your design, read the challenge brief, create your concept in Vizcom, and upload your design to share your vision with the community.",https://vizcom.com/challenges/the-birdhouse-challenge,The Birdhouse Challenge | Challenge | Vizcom
What is the difference between a free and paid Vizcom account for challenge participation?,"A free Vizcom account is eligible to participate, and it includes certain limits on features such as Image Generation, Image & Upscale Enhancement, and Background Removal.",https://vizcom.com/challenges/the-birdhouse-challenge,The Birdhouse Challenge | Challenge | Vizcom
Can Vizcom manufacture my design if I win the challenge?,"Yes, if your design wins, Vizcom will manufacture it and ship it to you, and you will also be featured on their website and social channels.",https://vizcom.com/challenges/the-birdhouse-challenge,The Birdhouse Challenge | Challenge | Vizcom
Why does Vizcom have a judging panel for the challenge?,"Vizcom has a judging panel to evaluate submissions based on criteria such as creativity, design quality, feasibility, and alignment with the brief, and to select the winning designs.",https://vizcom.com/challenges/the-birdhouse-challenge,The Birdhouse Challenge | Challenge | Vizcom
How many designs can I submit for the challenge?,You can submit up to 3 designs per challenge.,https://vizcom.com/challenges/the-birdhouse-challenge,The Birdhouse Challenge | Challenge | Vizcom
